orig.question.name,orig.cleaned.name,question.text
pbnature[1][1],pbnature1_1,"Please indicate, on average, how much time you spend in nature (including parks and nature preserves) [Please select one from each list][Scale 1]"
pbnature[1][2],pbnature1_2,"Please indicate, on average, how much time you spend in nature (including parks and nature preserves) [Please select one from each list][Scale 2]"
pbenoughnature[1],pbenoughnature1,Please indicate how much you agree or disagree with the following statement. [I get enough enough time in nature.]
pbelechabits[1],pbelechabits1,"On average, how many hours per week do you spend on the following? [Go on social media]"
pbelechabits[2],pbelechabits2,"On average, how many hours per week do you spend on the following? [Play video games]"
pbelechabits[3],pbelechabits3,"On average, how many hours per week do you spend on the following? [Watch T.V. shows]"
pbsocialpercep[01],pbsocialpercep01,Please indicate your level of belief in the following statements: [I believe that the distribution of wealth is fair]
pbsocialpercep[02],pbsocialpercep02,Please indicate your level of belief in the following statements: [I believe that a strong economy is what poor countries need]
pbsocialpercep[03],pbsocialpercep03,Please indicate your level of belief in the following statements: [I believe that I am safe around local law enforcement]
pbsocialpercep[04],pbsocialpercep04,Please indicate your level of belief in the following statements: [I believe that politics and government genuinely serve the interest of the people]
pbsocialpercep[05],pbsocialpercep05,Please indicate your level of belief in the following statements: [I believe that the major news organizations are important for our information]
pbsocialpercep[06],pbsocialpercep06,Please indicate your level of belief in the following statements: [I believe that families in modern society are fragmented]
pbsocialpercep[07],pbsocialpercep07,Please indicate your level of belief in the following statements: [I believe that primary and secondary education including college are necessary]
pbsocialpercep[08],pbsocialpercep08,Please indicate your level of belief in the following statements: [I believe people should be concerned about how humans are affecting the natural environment]
pbsocialpercep[09],pbsocialpercep09,Please indicate your level of belief in the following statements: [I believe that there is an overuse of technology today]
pbsocialpercep[10],pbsocialpercep10,Please indicate your level of belief in the following statements: [I believe that education in my country is in need of reform]
pbsocialpercep[11],pbsocialpercep11,Please indicate your level of belief in the following statements: [I believe that security is more important than privacy]
pbsocialpercep[12],pbsocialpercep12,Please indicate your level of belief in the following statements: [I believe that humanity's current mode of living is sustainable]
pbsocialpercep[13],pbsocialpercep13,Please indicate your level of belief in the following statements: [I believe that news and advertising are being used to manipulate society]
pbsocialpercep[14],pbsocialpercep14,Please indicate your level of belief in the following statements: [I believe that it is important to improve relations between people of different races/ethnic origins]
pbsocialpercep[15],pbsocialpercep15,Please indicate your level of belief in the following statements: [I believe that the military spending in my country is justified]
pbsocialpercep[16],pbsocialpercep16,Please indicate your level of belief in the following statements: [I believe that the Internet and technology are generally beneficial]
pbsocialpercep[17],pbsocialpercep17,Please indicate your level of belief in the following statements: [I believe that war is a necessary part of human life]
pbsocialpercep[18],pbsocialpercep18,Please indicate your level of belief in the following statements: [I believe that healthcare should be free for all]
pbsocialpercep[19],pbsocialpercep19,Please indicate your level of belief in the following statements: [I believe that I make or have enough money to support my basic needs.]
pbinequality[1],pbinequality1,"Please finish the following statement [If a person is poor, more often to blame are ...]"
pbsubstance[1],pbsubstance1,"Substance use history. [Do you use or have you tried any recreational drugs such as cocaine, heroin, or ecstasy (EXCLUDING marijuana and hallucinogenics like psilocybin, LSD, or DMT)?]"
pbsubstance[2],pbsubstance2,"Substance use history. [Do you use or have you tried any hallucinogens/psychedelics like psilocybin, LSD, or DMT?]"
pbsubstance[3],pbsubstance3,Substance use history. [Do you use or have you tried marijuana?]
pbsubstance[4],pbsubstance4,Substance use history. [Do you use or have you tried alcohol?]
pbsubstance[5],pbsubstance5,Substance use history. [Do you use or have you tried tobacco?]
pbopentext,pbopentext,OPTIONAL: Please briefly include anything we may have overlooked.
beliefs[01],beliefs01,Please rate each of the following statements with regard to how true they are for you. Please rate each of the following statements with regard to how true they are for you. [There is a predetermined purpose and meaning for your life on this Earth]
beliefs[02],beliefs02,Please rate each of the following statements with regard to how true they are for you. Please rate each of the following statements with regard to how true they are for you. [Whatever I give out into the universe I will receive back]
beliefs[03],beliefs03,Please rate each of the following statements with regard to how true they are for you. Please rate each of the following statements with regard to how true they are for you. [There is life after death or permanency of the soul]
beliefs[04],beliefs04,Please rate each of the following statements with regard to how true they are for you. Please rate each of the following statements with regard to how true they are for you. [God or the divine is ultimately in control]
beliefs[05],beliefs05,Please rate each of the following statements with regard to how true they are for you. Please rate each of the following statements with regard to how true they are for you. [God or the divine is capable of healing me and others]
beliefs[06],beliefs06,Please rate each of the following statements with regard to how true they are for you. Please rate each of the following statements with regard to how true they are for you. [All people are worth loving]
beliefs[07],beliefs07,Please rate each of the following statements with regard to how true they are for you. Please rate each of the following statements with regard to how true they are for you. [Giving is a greater gift than receiving]
beliefs[08],beliefs08,Please rate each of the following statements with regard to how true they are for you. Please rate each of the following statements with regard to how true they are for you. [It is important to follow the literal words of the scriptures]
beliefs[09],beliefs09,Please rate each of the following statements with regard to how true they are for you. Please rate each of the following statements with regard to how true they are for you. [Spiritual wealth is more important than physical wealth]
beliefs[10],beliefs10,Please rate each of the following statements with regard to how true they are for you. Please rate each of the following statements with regard to how true they are for you. [We are all one]
beliefs[11],beliefs11,Please rate each of the following statements with regard to how true they are for you. Please rate each of the following statements with regard to how true they are for you. [It is more important to follow the spirit of the scriptures rather than the literal words]
beliefs[12],beliefs12,Please rate each of the following statements with regard to how true they are for you. Please rate each of the following statements with regard to how true they are for you. [God or the divine can help me improve myself]
beliefs[13],beliefs13,Please rate each of the following statements with regard to how true they are for you. Please rate each of the following statements with regard to how true they are for you. [Ultimate fulfillment and satisfaction in this life are within oneself]
beliefs[14],beliefs14,"Please rate each of the following statements with regard to how true they are for you. Please rate each of the following statements with regard to how true they are for you. [All people should be loved, regardless of what they have done]"
beliefsopentext,beliefsopentext,OPTIONAL: Please briefly include anything we may have overlooked.
spirex[01],spirex01,"If you have had any of the following experiences AT ANY POINT in your life, please rate the MAXIMUM INTENSITY of the experience. An answer of ""Not at all"" means that you have never had the experience. [Overwhelming sense of bliss, joy and or contentment]"
spirex[02],spirex02,"If you have had any of the following experiences AT ANY POINT in your life, please rate the MAXIMUM INTENSITY of the experience. An answer of ""Not at all"" means that you have never had the experience. [Overwhelming sense of love]"
